Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Random Forest,0.95,0.9878419452887538,0.9027777777777778,0.9433962264150944,0.9934589947089947
Gradient Boosting,0.9910256410256411,0.9889196675900277,0.9916666666666667,0.9902912621359223,0.9997222222222222
Decision Tree,0.9756410256410256,0.9696969696969697,0.9777777777777777,0.9737206085753803,0.9807043650793652
